"","HOME","ROAD","GAME.DATE","SPREAD","H.PTS","R.PTS","Diff","sprError","VegDiffPred","VegHPred","VegRPred","PredDifflm01","PredDifflm02","PredHlm01","PredHlm02","PredRlm01","PredRlm02","dpcalm","Hpcalm","Rpcalm","PredDiffRF","PredHRF","PredRRF","PredDiffXGB","PredHXGB","PredRXGB","PredDiffglm","PredHglm","PredRglm"
"144","MEM","MIN",2016-11-19,1,93,71,-22,-23,1.13758857084541,99.4775775978408,100.668915766699,1.38431170681367,1.20761233804746,99.1439097924775,98.0896041982163,103.443096717292,101.476663795899,3.16056192322175,100.626161534388,103.438861782377,2.29060204081633,101.810911564626,102.562197278912,-0.788575410842896,100.657127380371,99.3196792602539,2.09388931091083,102.245735299098,103.272788148057
"147","CHI","MIL",2016-12-31,-3,96,116,20,23,-2.74049083767941,103.652200109873,100.912539470399,0.156008438174872,0.75334797187322,102.55614030321,102.922728384516,102.338010560752,102.110880582573,0.0572914392805758,102.854526341685,102.502873293041,1.99274829931973,106.19919047619,104.156452380952,2.92544293403625,105.785629272461,102.123825073242,-0.165657174133361,103.177941315095,102.686599432137
"152","MEM","TOR",2013-11-13,-6.5,87,103,16,22.5,-6.13381032013863,96.2852192062868,90.1930965076136,-3.59139874684818,-2.65639933695732,94.6164411699038,94.816618950773,94.633334620065,95.2325925202297,-1.01751473683106,94.0188118925087,95.6372636948552,-0.0959013605442179,95.0127891156462,95.7341020408163,-1.05367124080658,97.3080368041992,93.3670349121094,-2.39746073727525,96.8861808046848,96.8038854424171
"156","BOS","OKC",2014-11-12,-7.5,94,109,15,22.5,-7.10333017226983,102.424369959275,95.3091942853067,-8.07066744647436,-6.78557143696777,106.172139082254,106.329418714317,97.1681213656481,96.4574411389612,-10.168778389508,104.446619863965,96.2609665142782,-8.27497959183673,104.855387755102,98.4510918367347,-11.4768762588501,103.097732543945,94.7513122558594,-8.13460744574006,103.689322688566,97.6860811344278
"157","DEN","NOP",2014-11-21,2.5,117,97,-20,-22.5,2.59186834904222,105.862294380949,108.464874285089,4.13423185903819,4.24573237100095,105.132387022627,105.810366298186,108.28974787951,108.080372339898,4.05246537292034,103.633585455847,107.307221384657,7.52357823129252,101.920761904762,106.453496598639,8.29787540435791,98.6724014282227,99.3410339355469,3.58721078891246,103.272806219004,105.533573087231
"158","GSW","PHI",2014-12-30,-17.5,126,86,-40,-22.5,-16.7985286935819,113.229275284535,96.2836891001054,-17.608669976912,-18.7513081312335,108.462046572588,108.134273260939,93.8010387972745,94.8925893069312,-18.8588453625751,109.378765146822,93.5205058658503,-15.2895714285714,108.495925170068,93.2104149659864,-14.9770364761353,111.849105834961,90.0344543457031,-15.8458322996141,107.702501917926,95.6078644922679
"161","MEM","LAC",2015-02-27,-4.5,79,97,18,22.5,-4.19477061587622,101.933237899036,97.7454313223034,-0.547962756292037,-0.883771252892128,101.014874706845,99.6055430951787,100.174536657345,100.284751557454,-1.69731516820388,101.405306855694,99.6419720702054,0.460914965986394,99.7274829931973,99.8412346938776,-1.61287689208984,100.51097869873,98.6969604492188,-1.657689317993,101.199942066112,100.541859486464
"169","IND","GSW",2016-11-21,14.5,83,120,37,22.5,14.2261065746167,101.933237899036,116.260832803478,6.06161562775346,4.74007312323604,110.90268308765,110.139203308426,114.165588522131,114.440686271217,5.69719764362143,111.984205956488,115.79457880582,3.00769387755102,107.726170068027,114.337918367347,1.39011979103088,109.664276123047,116.889503479004,3.87808857034924,109.269420583202,111.087338418103
"170","CLE","LAC",2016-12-01,-3.5,94,113,19,22.5,-3.22525076374501,109.545784832742,106.272260951792,-2.12314921218039,-2.10572188250261,111.293642978225,111.374394135133,107.030133062193,106.953814108692,-1.91806898962181,112.550073312449,107.040410987073,-1.53627210884354,110.389142857143,107.078241496599,-3.75593209266663,109.286544799805,97.1166687011719,-1.55211551676153,110.45884672029,105.422060711827
"174","SAC","DEN",2017-02-23,6.5,116,100,-16,-22.5,6.46994775756704,107.581256591786,114.068219470181,-1.69579369263053,-2.45443513900895,108.210996519945,108.750333420483,108.463216935123,107.293522880966,-1.22269944766827,110.346543774188,109.317312675968,0.634302721088436,110.682619047619,111.099836734694,0.231656670570374,106.23551940918,111.768577575684,-1.34991970736329,109.545274017808,107.049016493833
