"","HOME","ROAD","GAME.DATE","W.L","SPREAD","VegPred","log1Pred","log1WL","log2Pred","log2WL","log3Pred","log3WL","RFWL","XGWL","lassoPred","lassoWL","XGPred","RFPred"
"424","UTA","DET",2014-03-24,0,1.5,0,0.544808894684442,1,0.544808894684442,1,0.573813273042339,1,"1","1",0.543676301109533,1,0.575774729251862,0.49
"428","MIA","PHI",2014-04-16,0,-5.5,1,0.946192426153352,1,0.946192426153352,1,0.937550447005338,1,"1","1",0.894357989919753,1,0.937342643737793,0.96
"431","MIN","SAS",2014-11-21,0,10.5,0,0.256616476810153,0,0.256616476810153,0,0.306818206893608,0,"0","0",0.30536417714947,0,0.305993884801865,0.36
"436","OKC","LAC",2015-03-11,0,-6.5,1,0.462424603960651,0,0.462424603960651,0,0.481192841107425,0,"1","0",0.500868491747449,1,0.467814534902573,0.72
"437","CHA","DET",2015-04-01,1,-5.5,1,0.395233045875533,0,0.395233045875533,0,0.528189995751139,1,"1","1",0.536136342411454,1,0.514664113521576,0.6
"438","ATL","NYK",2015-04-13,0,-14.5,1,0.939890853548377,1,0.939890853548377,1,0.919873549801745,1,"1","1",0.896255623337631,1,0.921518981456757,0.98
"440","ATL","MIN",2015-11-09,0,-8.5,1,0.767278570074289,1,0.767278570074289,1,0.743856121211693,1,"1","1",0.704291124529466,1,0.742970883846283,0.66
"446","SAS","PHX",2015-12-30,1,-14.5,1,0.922657380126983,1,0.922657380126983,1,0.913155616297152,1,"1","1",0.894425142554793,1,0.917272567749023,0.98
"454","BKN","CLE",2016-03-24,1,9.5,0,0.22368596502605,0,0.22368596502605,0,0.245304014554555,0,"0","0",0.3003116345982,0,0.233609035611153,0.07
"457","TOR","IND",2016-04-08,1,5.5,0,0.6099595577696,1,0.6099595577696,1,0.622615095743964,1,"1","1",0.614675842571023,1,0.61903989315033,0.7
"462","HOU","MIA",2017-02-15,0,-10.5,1,0.701563615543513,1,0.701563615543513,1,0.743666133322074,1,"1","1",0.739539253248677,1,0.734073102474213,0.84
"464","PHX","LAL",2017-03-09,0,-6.5,1,0.703230353482868,1,0.703230353482868,1,0.642444191555471,1,"1","1",0.667385477676027,1,0.646212041378021,0.85
"466","PHX","POR",2013-11-27,1,4,0,0.553350359566721,1,0.553350359566721,1,0.471848706601071,0,"0","0",0.47691445046862,0,0.474960297346115,0.38
"475","BOS","PHI",2014-04-04,0,-9,1,0.798842564099065,1,0.798842564099065,1,0.775768848251223,1,"1","1",0.734368987656623,1,0.78467857837677,0.95
"476","BKN","NYK",2014-04-15,0,-7,1,0.619838743920083,1,0.619838743920083,1,0.624796098049398,1,"1","1",0.602406018910252,1,0.618193447589874,0.76
"477","CHI","IND",2014-11-15,0,-9,1,0.85851961641401,1,0.85851961641401,1,0.840492626149272,1,"1","1",0.821799410456414,1,0.854146599769592,0.91
"483","DAL","BKN",2015-02-28,0,-8,1,0.761039196610098,1,0.761039196610098,1,0.771864547027221,1,"1","1",0.7429953198018,1,0.780423223972321,0.94
"488","UTA","NYK",2015-12-09,1,-3,1,0.730787006160307,1,0.730787006160307,1,0.723585513498957,1,"1","1",0.677466670838304,1,0.721828758716583,0.83
"491","ATL","BKN",2016-01-16,1,-10,1,0.842718502698259,1,0.842718502698259,1,0.80119893822436,1,"1","1",0.783595642984872,1,0.810901522636414,0.98
"499","DET","MEM",2016-12-21,0,-6,1,0.752990294169005,1,0.752990294169005,1,0.655274805784751,1,"1","1",0.634328187860823,1,0.677185654640198,0.59
"507","SAS","CLE",2013-11-23,1,-12.5,1,0.946416030034333,1,0.946416030034333,1,0.939996164741708,1,"1","1",0.917116268268092,1,0.939266979694366,0.96
"515","GSW","DAL",2014-03-11,1,-5.5,1,0.695976862901768,1,0.695976862901768,1,0.652786504606069,1,"1","1",0.659569327344396,1,0.65745621919632,0.73
"520","LAL","CHA",2014-11-09,1,2.5,0,0.21895315046447,0,0.21895315046447,0,0.209772947329409,0,"0","0",0.235775070684324,0,0.207209274172783,0.33
"528","TOR","POR",2015-03-15,0,-1.5,1,0.505003572065087,1,0.505003572065087,1,0.532406144198225,1,"1","1",0.521616549435765,1,0.544703543186188,0.67
"529","PHX","SAC",2015-03-25,0,-8.5,1,0.684581325633658,1,0.684581325633658,1,0.734406129400361,1,"1","1",0.688462220555676,1,0.720729112625122,0.93
"532","LAC","TOR",2015-11-22,0,-6.5,1,0.564674166709609,1,0.564674166709609,1,0.502544541653266,1,"1","1",0.515240861574791,1,0.534019589424133,0.57
"533","MEM","ATL",2015-11-27,0,-2.5,1,0.45993412330745,0,0.45993412330745,0,0.431557779029624,0,"1","0",0.470101123541264,0,0.436397910118103,0.47
"534","MIL","NYK",2015-12-05,1,2.5,0,0.446575586129204,0,0.446575586129204,0,0.481265597850528,0,"0","0",0.471449475045735,0,0.47863981127739,0.55
"539","UTA","WAS",2016-03-11,1,-3.5,1,0.553002810880438,1,0.553002810880438,1,0.656450575793006,1,"1","1",0.61679688371541,1,0.640559911727905,0.68
"540","CHI","NYK",2016-03-23,0,-9.5,1,0.679430505866419,1,0.679430505866419,1,0.677906692563736,1,"1","1",0.678736725791863,1,0.675600051879883,0.8
"544","DET","LAC",2016-11-25,1,6.5,0,0.255789065684485,0,0.255789065684485,0,0.200806546688201,0,"0","0",0.246062842138771,0,0.199834242463112,0.18
"545","NOP","PHI",2016-12-08,0,-6.5,1,0.68411608299249,1,0.68411608299249,1,0.728194490342833,1,"1","1",0.729701197177618,1,0.730002224445343,0.86
"546","IND","CHA",2016-12-12,1,1.5,0,0.49647553328184,0,0.49647553328184,0,0.453942132895307,0,"0","0",0.457746377013068,0,0.445424824953079,0.51
"550","MIL","HOU",2017-01-23,1,4.5,0,0.413006337797857,0,0.413006337797857,0,0.445738143152774,0,"0","0",0.421261637111344,0,0.456920087337494,0.21
"552","BKN","SAS",2017-01-23,0,8.5,0,0.128030655808145,0,0.128030655808145,0,0.152550476985053,0,"0","0",0.189261327209032,0,0.1443962007761,0.1
"554","MIA","PHI",2017-03-01,1,-9.5,1,0.784345388423497,1,0.784345388423497,1,0.707314121104653,1,"1","1",0.696989952914405,1,0.716596305370331,0.88
"556","ATL","POR",2017-03-18,0,-1.5,1,0.707237209015296,1,0.707237209015296,1,0.612848128349572,1,"1","1",0.621836473366073,1,0.627464652061462,0.63
"561","HOU","GSW",2013-12-06,1,-5,1,0.647106730386685,1,0.647106730386685,1,0.716506297514588,1,"1","1",0.694511304206837,1,0.726110339164734,0.73
"564","MIN","CHA",2014-01-10,1,-10,1,0.745346447272623,1,0.745346447272623,1,0.764494223243066,1,"1","1",0.750739915825688,1,0.759769260883331,0.77
"565","IND","DAL",2014-02-12,0,-9,1,0.610793097161997,1,0.610793097161997,1,0.693691543649761,1,"1","1",0.701430660054395,1,0.696760237216949,0.82
"567","NYK","GSW",2014-02-28,0,6,0,0.469502413932223,0,0.469502413932223,0,0.496202597847878,0,"0","0",0.468567123835478,0,0.494792699813843,0.41
